2011-07-25 02:35:17 Debug: Notice (8): Undefined index: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 20]
2011-07-25 02:35:21 Debug: Notice (8): Undefined index: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 20]
2011-07-25 02:37:11 Debug: Notice (8): Undefined index: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 20]
2011-07-25 02:37:43 Debug: Notice (8): Undefined variable: test in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 23]
2011-07-25 02:39:14 Debug: Notice (8): Undefined variable: test in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 23]
2011-07-25 02:39:45 Debug: Notice (8): Undefined variable: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 02:40:27 Debug: Notice (8): Undefined variable: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 02:40:58 Debug: Notice (8): Undefined variable: stars in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 02:41:02 Debug: Notice (8): Undefined variable: stars in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 03:00:39 Debug: Notice (8): Undefined variable: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 22]
2011-07-25 03:00:39 Debug: Notice (8): Undefined variable: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 23]
2011-07-25 03:00:39 Debug: Notice (8): Undefined variable: revid in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 26]
2011-07-25 03:00:43 Debug: Notice (8): Undefined variable: stars in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 26]
2011-07-25 09:45:39 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
2011-07-25 09:46:01 Debug: Notice (8): Undefined variable: id in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 27]
2011-07-25 09:49:11 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
2011-07-25 09:49:21 Debug: Notice (8): Undefined variable: id in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 27]
2011-07-25 09:50:27 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
2011-07-25 09:50:28 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
2011-07-25 09:50:32 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\index.ctp, line 23]
2011-07-25 09:50:37 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
2011-07-25 09:50:43 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\index.ctp, line 23]
2011-07-25 09:51:24 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\index.ctp, line 23]
2011-07-25 09:53:54 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:53:56 Debug: Notice (8): Undefined variable: stars in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 09:54:02 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:07 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:09 Debug: Notice (8): Undefined variable: stars in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 09:54:15 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:18 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:21 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:25 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:26 Debug: Notice (8): Undefined variable: stars in [C:\xampp\htdocs\edittogether\controllers\revisionreviews_controller.php, line 21]
2011-07-25 09:54:32 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-25 09:54:53 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-28 16:39:35 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
2011-07-28 16:39:43 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\index.ctp, line 23]
2011-07-28 16:40:19 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\index.ctp, line 23]
2011-07-28 16:40:34 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\revisions\view.ctp, line 11]
2011-07-28 17:38:32 Debug: Notice (8): Undefined index: rating in [C:\xampp\htdocs\edittogether\views\essays\view.ctp, line 70]
